"predator","prey","site_name","site_s"
"coyotes (Obs)","Rodent-like","site 5","site_s"
"coyotes (Obs)","rabbit","site 8","site_s"
"coyotes (Obs)","raccoon","site 8","site_s"
"coyotes (Obs)","Rabbit-like","site 8","site_s"
"coyotes (Obs)","Rabbit-like","site 8","site_s"
"coyotes (Obs)","squirrel","site 8","site_s"
"coyotes (Obs)","Rodent-like","site 10","site_s"
"coyotes (Obs)","Rodent-like","site 10","site_s"
"coyotes (Obs)","Rodent-like","site 10","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","Rodent-like","site 15","site_s"
"coyotes (Obs)","rabbit","site 22","site_s"
"coyotes (Obs)","cat","site 23","site_s"
"coyotes (Obs)","Rabbit-like","site 24","site_s"
"fox (Obs)","rabbit","site 7","site_s"
"fox (Obs)","rabbit","site 7","site_s"
"fox (Obs)","rabbit","site 7","site_s"
"fox (Obs)","rabbit","site 7","site_s"
"fox (Obs)","Rodent-like","site 9","site_s"
"fox (Obs)","Rodent-like","site 9","site_s"
"fox (Obs)","Rodent-like","site 10","site_s"
"fox (Obs)","Rabbit-like","site 10","site_s"
"fox (Obs)","Rabbit-like","site 10","site_s"
"fox (Obs)","rabbit","site 10","site_s"
"fox (Obs)","squirrel","site 10","site_s"
"fox (Obs)","squirrel","site 10","site_s"
"fox (Obs)","squirrel","site 10","site_s"
"fox (Obs)","Rodent-like","site 10","site_s"
"fox (Obs)","squirrel","site 11","site_s"
"fox (Obs)","Rodent-like","site 11","site_s"
"fox (Obs)","Rodent-like","site 11","site_s"
"fox (Obs)","Rabbit-like","site 15","site_s"
"fox (Obs)","Rabbit-like","site 24","site_s"
