"predator","prey","bird_feeder","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","oppossum","no","site_s"
"coyote (PEE)","oppossum","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","skunk","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"fox (PEE)","cat","no","site_s"
"fox (PEE)","cat","no","site_s"
"fox (PEE)","deer","no","site_s"
"fox (PEE)","rabbit","no","site_s"
"fox (PEE)","rabbit","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","squirrel","no","site_s"
"coyote (PEE)","cat","no","site_s"
"coyote (PEE)","cat","no","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","deer","no","site_s"
"coyote (PEE)","rabbit","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","raccoon","no","site_s"
"coyote (PEE)","skunk","no","site_s"
"coyote (PEE)","skunk","no","site_s"
"coyote (PEE)","skunk","no","site_s"
"coyote (PEE)","skunk","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"coyote (PEE)","squirrel","no","site_s"
"fox (PEE)","cat","no","site_s"
"fox (PEE)","cat","no","site_s"
"fox (PEE)","rabbit","no","site_s"
"fox (PEE)","rabbit","no","site_s"
"fox (PEE)","rabbit","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","raccoon","no","site_s"
"fox (PEE)","squirrel","no","site_s"
"fox (PEE)","squirrel","no","site_s"
"fox (PEE)","squirrel","no","site_s"
"fox (PEE)","squirrel","no","site_s"
"fox (PEE)","squirrel","no","site_s"
"fox (PEE)","squirrel","no","site_s"
