"","site_name","Species_1","Species_2","time_interval"
"1","site 1","coyote","dog",9.74611111111111
"2","site 1","coyote","dog",7.11833333333333
"3","site 1","coyote","dog",11.295
"4","site 1","coyote","dog",11.3955555555556
"5","site 1","coyote","dog",11.4105555555556
"6","site 1","coyote","dog",11.4461111111111
"7","site 1","dog","coyote",9.34694444444444
"8","site 1","dog","coyote",9.32666666666667
"9","site 1","coyote","dog",5.70166666666667
"10","site 1","dog","coyote",10.0197222222222
"11","site 1","dog","coyote",10.0583333333333
"12","site 1","dog","coyote",10.0066666666667
"13","site 1","dog","coyote",10.0452777777778
"14","site 1","coyote","dog",0
"15","site 1","dog","coyote",0.0386111111111111
"16","site 1","coyote","dog",11.5091666666667
"17","site 1","coyote","dog",11.5361111111111
"18","site 2","dog","coyote",3.33416666666667
"19","site 2","coyote","dog",0.241111111111111
"20","site 2","coyote","dog",0.225
"21","site 2","coyote","dog",0.160277777777778
"22","site 2","coyote","dog",10.8838888888889
"23","site 2","dog","coyote",1.8425
"24","site 2","dog","coyote",0.0255555555555556
"25","site 2","dog","coyote",3.29388888888889
"26","site 2","dog","coyote",3.92805555555556
"27","site 2","coyote","dog",10.0147222222222
"28","site 2","coyote","dog",9.38055555555556
"29","site 3","dog","coyote",11.99
"30","site 3","dog","coyote",11.9886111111111
"31","site 3","dog","coyote",11.9380555555556
"32","site 3","dog","coyote",11.7980555555556
"33","site 3","dog","coyote",11.6997222222222
"34","site 3","dog","coyote",11.6783333333333
"35","site 3","dog","coyote",11.6680555555556
"36","site 3","dog","coyote",11.5094444444444
"37","site 3","dog","coyote",11.5080555555556
"38","site 3","dog","coyote",11.4911111111111
"39","site 3","dog","coyote",11.4758333333333
"40","site 3","dog","coyote",11.4347222222222
"41","site 3","dog","coyote",11.4208333333333
"42","site 3","dog","coyote",11.4036111111111
"43","site 3","dog","coyote",10.9441666666667
"44","site 3","dog","coyote",10.7533333333333
"45","site 3","dog","coyote",10.2838888888889
"46","site 3","dog","coyote",9.89555555555556
"47","site 3","dog","coyote",9.89416666666667
"48","site 3","dog","coyote",9.73444444444444
"49","site 3","dog","coyote",9.36416666666667
"50","site 3","dog","coyote",9.33555555555555
"51","site 3","dog","coyote",9.05
"52","site 3","dog","coyote",8.91861111111111
"53","site 3","dog","coyote",8.86111111111111
